Date,Open,High,Low,Close,Adj Close,Volume
12/16/2002,25.219999,26.200001,24.809999,25.32,21.959946,351520200
12/23/2002,25.18,25.91,24.75,24.82,21.526299,139000000
12/30/2002,24.84,25.709999,24.280001,25.68,22.272167,208374500
1/6/2003,25.709999,27.26,25.200001,27.1,23.503731,388924800
1/13/2003,27.33,27.469999,25.27,25.309999,21.951273,321024800
1/20/2003,25.41,25.84,24.639999,24.82,21.526299,300740600
1/27/2003,24.450001,25.450001,24.01,24.440001,21.196732,398335100
2/3/2003,24.52,24.860001,23.65,23.809999,20.650335,377366600
2/10/2003,23.889999,24.610001,23.32,24.49,21.240089,342046700
2/17/2003,24.700001,25.370001,24.51,25.17,21.829851,249506500
2/24/2003,25.129999,25.219999,24.08,25.16,21.821184,307702700
3/3/2003,25.27,25.48,23.959999,24.540001,21.283455,317954000
3/10/2003,24.33,25.98,23.540001,25.719999,22.306862,407074000
3/17/2003,25.43,27.379999,25.35,27.17,23.564447,514998900
3/24/2003,26.469999,26.77,25.950001,26.08,22.619087,341344000
3/31/2003,25.6,26.85,25.209999,26.049999,22.593065,374152500
4/7/2003,27.110001,27.200001,25.299999,25.51,22.124725,339542400
4/14/2003,25.6,26.98,25.49,26.82,23.260891,258023400
4/21/2003,26.940001,27.75,26.620001,26.950001,23.37364,329475700
4/28/2003,27.049999,28.290001,26.950001,28.280001,24.527143,350798800
5/5/2003,28.33,28.9,27.76,28.41,24.639891,366989100
5/12/2003,28.360001,28.99,28.17,28.700001,24.891401,327425300
5/19/2003,28.52,28.68,27.41,28.1,24.371025,327125000
5/26/2003,27.93,29.870001,27.9,29.790001,25.836765,353142200
6/2/2003,30.08,31.469999,29.309999,30.129999,26.131639,517581700
6/9/2003,30,30.75,29.530001,29.959999,25.984203,414744200
6/16/2003,30.17,31.24,30,30.379999,26.348473,369978300
6/23/2003,30.33,30.57,29.469999,29.83,25.871452,425408500
6/30/2003,30.16,31.1,29.26,30.58,26.521925,309918400
7/7/2003,30.969999,32.490002,30.959999,31.84,27.614714,430674300
7/14/2003,32.34,32.75,30.92,31.280001,27.12903,436501700
7/21/2003,31.24,32.02,30.610001,31.799999,27.580027,437556500
7/28/2003,31.860001,32.330002,31.24,31.459999,27.285141,352447700
8/4/2003,31.42,31.799999,29.93,30.07,26.079611,438206100
8/11/2003,30.08,31.290001,30.030001,31.17,27.03363,259745800
8/18/2003,31.309999,33.369999,31.23,32.439999,28.135098,363813800
8/25/2003,32.360001,33.459999,31.809999,33.389999,28.959023,278875100
9/1/2003,33.490002,34.34,33.130001,33.939999,29.436035,320298100
9/8/2003,34,34.529999,33.009998,33.82,29.331955,470615900
9/15/2003,33.84,34.860001,33.439999,34.580002,29.991112,383118600
9/22/2003,34.130001,34.560001,32.52,32.580002,28.256516,514547200
9/29/2003,32.759998,34.470001,32.360001,34.189999,29.652864,519412800
10/6/2003,34.279999,35.27,34.009998,35.009998,30.364054,387227200
10/13/2003,35.139999,35.849998,34.599998,34.610001,30.01713,391989300
10/20/2003,34.650002,35.450001,33.490002,34.200001,29.661531,434329500
10/27/2003,34.279999,36,34.040001,35.18,30.511486,395591200
11/3/2003,35.43,36.18,35.150002,35.630001,30.901764,352660400
11/10/2003,35.700001,36.02,34.849998,35.040001,30.390072,380043300
11/17/2003,34.84,34.970001,33.73,34.23,29.68755,502083900
11/24/2003,34.52,35.52,34.470001,35.380001,30.684942,262222800
12/1/2003,35.709999,36.119999,34.959999,35.040001,30.390072,442665300
12/8/2003,35.02,35.459999,34.130001,35.240002,30.56352,480979000
12/15/2003,35.93,35.990002,34.419998,35.459999,30.754351,444226400
12/22/2003,35.349998,36.09,35.290001,35.849998,31.092581,200917700
12/29/2003,36.029999,36.790001,36.02,36.360001,31.54722,227274300
1/5/2004,36.580002,38.349998,36.560001,37.73,32.73587,372678300
1/12/2004,37.849998,38.630001,37.599998,38.57,33.464672,420516500
1/19/2004,38.73,39,37.779999,38.009998,32.978813,372991600
1/26/2004,37.98,38.650002,36.66,37.07,32.163231,537879900
2/2/2004,37.200001,37.48,36.330002,37.130001,32.215309,481888200
2/9/2004,37.34,37.970001,36.759998,36.939999,32.050465,377490200
2/16/2004,37.279999,37.900002,36.549999,36.860001,31.981031,373842100
2/23/2004,37,37.029999,36.099998,36.57,31.729416,494890300
3/1/2004,36.68,37.18,36.209999,36.630001,31.781496,439187700
3/8/2004,36.689999,36.82,34.799999,35.509998,30.809725,643467600
3/15/2004,35.360001,35.619999,34.630001,34.75,30.150333,541989800
3/22/2004,34.529999,35.580002,34.009998,35.220001,30.558123,599245800
3/29/2004,35.509998,37.16,35.490002,37.099998,32.189255,524587000
4/5/2004,37.009998,37.5,36.66,36.939999,32.050465,334144200
4/12/2004,37.02,37.360001,35.790001,36.09,31.312965,503875400
4/19/2004,36.009998,37.259998,35.639999,37.209999,32.284718,552713200
4/26/2004,37.18,37.290001,34.720001,34.77,30.167681,581427700
5/3/2004,35,35.75,34.849998,34.970001,30.34119,581131000
5/10/2004,34.669998,35.450001,34.27,34.75,30.150333,746742000
5/17/2004,34.380001,35.509998,34.110001,35.02,30.384607,595253400
5/24/2004,35.299999,36.549999,34.950001,36.549999,31.712086,506535800
5/31/2004,36.27,36.66,35.82,36.189999,31.399712,382647100
6/7/2004,36.439999,37.189999,36.34,36.84,31.963694,335380000
6/14/2004,36.610001,36.990002,36.099998,36.439999,31.616619,398296600
6/21/2004,36.52,37.389999,36.02,37.330002,32.388824,434639900
6/28/2004,37.490002,37.900002,36.630001,36.82,31.946337,456306800
7/5/2004,36.599998,36.599998,35.549999,35.75,31.017971,420625800
7/12/2004,35.57,35.810001,34.619999,34.669998,30.080923,493348500
7/19/2004,34.779999,35.650002,34.029999,34.209999,29.681799,599171300
7/26/2004,34.240002,35.099998,33.700001,34.889999,30.271803,552704300
8/2/2004,34.610001,35.02,32.66,32.720001,28.389034,512248000
8/9/2004,32.810001,33.48,32.349998,32.52,28.215494,511427300
8/16/2004,32.610001,34.139999,32.59,34.009998,29.508276,470685500
8/23/2004,34.049999,34.68,33.810001,34.560001,29.985489,374656500
8/30/2004,34.41,34.880001,33.650002,34.139999,29.621065,413516000
9/6/2004,34.400002,35.189999,34.119999,35.119999,30.471357,410011700
9/13/2004,35.25,35.720001,35.119999,35.43,30.74032,426969900
9/20/2004,35.290001,35.849998,34.75,34.799999,30.193707,501510500
9/27/2004,34.619999,36.150002,34.23,36.099998,31.321634,460951400
10/4/2004,36.360001,36.689999,35.5,35.580002,30.870464,483049800
10/11/2004,35.720001,36.139999,35.200001,35.630001,30.913837,510075300
10/18/2004,35.509998,36.790001,35.400002,35.799999,31.061348,582379800
10/25/2004,35.73,37.240002,35.41,36.900002,32.015743,565344000
11/1/2004,36.98,38.16,36.799999,37.959999,32.935444,551798400
11/8/2004,37.950001,38.759998,37.650002,38.66,33.542789,448403900
11/15/2004,38.639999,39.360001,38.32,38.68,33.560135,518486000
11/22/2004,38.610001,39.48,38.48,39.209999,34.019974,277108500
11/29/2004,39.459999,40.59,38.970001,40.130001,34.818211,521036800
12/6/2004,40.119999,40.5,39.240002,39.93,34.64468,422499500
12/13/2004,40.23,40.68,39.43,39.470001,34.245567,445509000
